SummitCode,SummitName,Lat,Lon,AltM,DEM_AltM,abs_diff,dem_source
JA/AC-001,Chausuyama,35.2276,137.6555,1415.0,1414.65,0.34999999999990905,5a
JA/AC-002,Tengudana,35.1902,137.5808,1240.0,1231.91,8.089999999999918,5a
JA/AC-003,Takanosuyama,35.1526,137.495,1152.0,1153.36,1.3599999999999,5a
JA/AC-004,JA/AC-004,35.1361,137.4436,1130.0,1128.01,1.990000000000009,5a
JA/AC-005,JA/AC-005,35.1531,137.76691,1109.0,1108.68,0.31999999999993634,5a
JA/AC-006,Myoujinyama,35.0497,137.6626,1016.0,1010.39,5.610000000000014,5a
JA/AC-007,Oosuzuyama,35.1052,137.60629,1012.0,1008.91,3.090000000000032,5a
JA/AC-008,Koiwadake,35.1235,137.7372,985.0,983.76,1.240000000000009,5a
JA/AC-009,Shiratoriyama,35.1602,137.6514,968.0,964.55,3.4500000000000455,5a
JA/AC-010,Ootouge,35.1391,137.6554,954.0,953.31,0.6900000000000546,5a
JA/AC-011,Ureyama,35.0228,137.5979,929.0,925.78,3.2200000000000273,5a
JA/AC-012,Hanareyama,35.1127,137.77699,917.0,916.18,0.82000000000005,5a
JA/AC-013,Near Kurakakeyama,35.0579,137.5799,888.0,888.95,0.9500000000000455,5a
JA/AC-014,Mizunashiyama,35.1409,137.6266,866.0,864.18,1.82000000000005,5a
JA/AC-015,JA/AC-015,35.2246,137.4794,865.0,861.05,3.9500000000000455,5a
JA/AC-016,Gotenyama,35.0867,137.6611,789.0,789.22,0.22000000000002728,5a
JA/AC-017,Honguusan,34.9098,137.4205,789.0,788.07,0.92999999999995,5a
JA/AC-018,Uzu,35.085,137.63161,757.0,757.4,0.39999999999997726,5a
JA/AC-019,Nokiyama,35.0946,137.7151,717.0,715.89,1.1100000000000136,5a
JA/AC-020,Nishiyama(soneyama),35.2809,137.26041,712.0,711.75,0.25,5a
JA/AC-021,Mikuniyama,35.2549,137.1902,701.0,700.61,0.38999999999998636,5a
JA/AC-022,Houraijisan,34.984,137.58279,695.0,679.17,15.830000000000041,5a
JA/AC-023,Sunagaganpou,34.9407,137.4931,688.0,684.54,3.4600000000000364,5a
JA/AC-024,Hourokusan,35.0603,137.3029,684.0,683.1,0.8999999999999773,5a
JA/AC-025,JA/AC-025,35.2018,137.17239,632.0,631.19,0.8099999999999454,5a
JA/AC-026,Rokusyosan,35.0549,137.28419,611.0,603.72,7.279999999999973,5a
JA/AC-027,Koudosan,34.9848,137.65041,583.0,582.22,0.7799999999999727,5a
JA/AC-028,JA/AC-028,35.0158,137.53889,524.0,519.35,4.649999999999977,5a
JA/AC-029,Tokosabuyama,34.8984,137.57471,482.0,478.56,3.4399999999999977,5a
JA/AC-031,Goisan,34.8471,137.25909,454.0,453.79,0.20999999999997954,5a
JA/AC-032,Kyougamine,34.9007,137.3226,442.0,441.15,0.8500000000000227,5a
JA/AC-033,JA/AC-033,34.9567,137.5609,410.0,418.96,8.95999999999998,5a
JA/AC-034,Kichijyozan,34.8577,137.4783,383.0,380.22,2.7799999999999727,5a
JA/AC-035,Hiyoshimura1,34.887,137.5246,356.0,355.78,0.22000000000002728,5a
JA/AC-037,Ooyama,34.6021,137.14639,328.0,327.01,0.9900000000000091,5a
JA/AC-038,Ooshima,35.1192,137.2686,326.0,325.26,0.7400000000000091,5a
JA/AC-039,Kinugasayama,34.6756,137.2399,278.0,278.16,0.160000000000025,5a
JA/AC-040,Ooboratouge,35.2173,137.46291,868.0,867.04,0.9600000000000364,5a
JA/AC-041,Ebi,35.0375,137.57671,762.0,758.48,3.519999999999982,5a
JA/AC-042,Near Tomoeyama,34.976,137.4019,732.0,731.95,0.049999999999954525,5a
JA/AC-043,Takatsuka,35.067,137.71471,581.0,578.74,2.259999999999991,5a
JA/AC-044,Takanogozenyama,34.9101,137.3549,480.0,471.09,8.910000000000025,5a
JA/AC-045,Sanganesan,34.8138,137.15089,348.0,348.51,0.5099999999999909,5a
JA/AC-046,Motomiyayama,35.3338,136.97971,293.0,290.85,2.1499999999999773,5a
JA/AC-047,Nishiochausuyama,34.8436,137.123,291.0,289.33,1.670000000000016,5a
JA/AC-048,Zaousan,34.685,137.2621,250.0,249.95,0.05000000000001137,5a
JA/AC-049,Nikouyama(Kiotoshiyama),34.6685,137.20889,223.0,222.81,0.18999999999999773,5a
JA/AC-050,Ootogisu,34.6476,137.1877,215.0,214.63,0.37000000000000455,5a
JA/AC-051,Toboneyama,34.8565,137.20599,443.0,438.6,4.399999999999977,5a
JA/AC-052,Owarifuji,35.3445,136.9839,275.0,273.25,1.75,5a
JA/AC-053,Omurayama,34.6235,137.218,189.0,187.95,1.0500000000000114,5a
JA/AM-001,Iwakisan,40.6559,140.30299,1625.0,1622.87,2.130000000000109,5a
JA/AM-002,Hakkoudasan (Oodake),40.6589,140.8773,1585.0,1583.69,1.3099999999999454,5a
JA/AM-003,Kushigamine (Kamidake),40.6032,140.84261,1517.0,1514.96,2.0399999999999636,10b
JA/AM-004,Mukaishirakamidake,40.5239,140.04539,1250.0,1242.47,7.529999999999973,5a
JA/AM-005,Heraidake (Mitsudake),40.4529,141.0015,1159.0,1158.88,0.11999999999989086,5a
JA/AM-006,Jinbadake,40.4814,140.3273,1050.0,1048.57,1.4300000000000637,5a
JA/AM-007,Kuromori,40.6472,140.9552,1023.0,1021.05,1.9500000000000455,5a
JA/AM-008,Hachimandake,40.7032,140.99879,1020.0,1020.08,0.08000000000004093,10b
JA/AM-009,Masugadake,40.4828,140.09959,1012.0,1010.88,1.1200000000000045,5a
JA/AM-010,Aogadake,40.4517,140.1841,1000.0,998.7,1.2999999999999545,10b
JA/AM-011,Near Kenashiyama,40.5637,140.7579,985.0,984.48,0.5199999999999818,10b
JA/AM-012,Futase,40.596,140.0426,958.0,956.81,1.1900000000000546,5a
JA/AM-013,Tengudake,40.5271,140.0843,958.0,956.31,1.6900000000000546,5a
JA/AM-014,JA/AM-014,40.4779,140.4485,956.0,950.53,5.470000000000027,5a
JA/AM-015,Shimotozawa,40.5712,140.09869,930.0,929.0,1.0,5a
JA/AM-016,Origamiyama,40.7616,140.91969,921.0,919.64,1.3600000000000136,5c
JA/AM-017,Aogayama,40.6549,140.09869,891.0,888.77,2.230000000000018,5a
JA/AM-018,Rangannomori,40.5796,140.1555,885.0,884.43,0.57000000000005,5a
JA/AM-019,Oonaruki,40.6059,140.1476,879.0,877.76,1.240000000000009,5a
JA/AM-020,Kamafuseyama,41.2785,141.12,878.0,877.67,0.3300000000000409,5a
JA/AM-021,Asahinadake,41.3277,141.0249,874.0,872.3,1.7000000000000455,5a
JA/AM-022,Raibachimori,40.3285,140.9949,874.0,871.5,2.5,5a
